,Material,ICSD number,GGA gap,HSE gap,Atomic mass,Atomic no,Atomic orbitals_1s,Atomic orbitals_2s,Atomic orbitals_2p,Atomic orbitals_3s,Atomic orbitals_3p,Atomic orbitals_3d,Atomic orbitals_4s,Atomic orbitals_4p,Atomic orbitals_4d,Atomic orbitals_4f,Atomic orbitals_5s,Atomic orbitals_5p,Atomic orbitals_5d,Atomic orbitals_5f,Atomic orbitals_6s,Atomic orbitals_6p,Atomic orbitals_6d,Atomic orbitals_7s,Atomic radius,Atomic radius calculated,Boiling point,Brinell hardness,Bulk modulus,Coefficient of linear thermal epansion,Common oxidation states_-4,Common oxidation states_-3,Common oxidation states_-2,Common oxidation states_-1,Common oxidation states_0,Common oxidation states_1,Common oxidation states_2,Common oxidation states_3,Common oxidation states_4,Common oxidation states_5,Common oxidation states_6,Common oxidation states_7,Critical temperature,Density of solid,Electrical resistivity,Unnamed: 45,Ionic radii_-3,Ionic radii_-2,Ionic radii_-1,Ionic radii_0,Ionic radii_1,Ionic radii_2,Ionic radii_3,Ionic radii_4,Ionic radii_5,Ionic radii_6,Ionic radii_7,Ionic radii_8,Liquid range,Melting point,Mendeleev no,Mineral hardness,Molar volume,Unnamed: 63,Oxidation states_-4,Oxidation states_-3,Oxidation states_-2,Oxidation states_-1,Oxidation states_0,Oxidation states_1,Oxidation states_2,Oxidation states_3,Oxidation states_4,Oxidation states_5,Oxidation states_6,Oxidation states_7,Oxidation states_8,Poissons ratio,Reflectivity,Refractive index,Rigidity modulus,Superconduction temperature,Thermal conductivity,Van der waals radius,Velocity of sound,Vickers hardness,X,Youngs modulus,Metallic radius,iupac_ordering,IUPAC ordering,ICSD oxidation states_-4,ICSD oxidation states_-3,ICSD oxidation states_-2,ICSD oxidation states_-1,ICSD oxidation states_0,ICSD oxidation states_1,ICSD oxidation states_2,ICSD oxidation states_3,ICSD oxidation states_4,ICSD oxidation states_5,ICSD oxidation states_6,ICSD oxidation states_7,Unnamed: 103,Unnamed: 104,NMR Quadrupole Moment_3,Max oxidation state,Min oxidation state,Ionic radii hs_2,Ionic radii hs_3,Ionic radii hs_4,Ionic radii ls_2,Ionic radii ls_3,Ionic radii ls_4,Ionic radii ls_5,Ionic radii ls_6,Ionic radii ls_7
5340,Ni4Sc3Si4,646480,done_error,,58.6934,28.0,-297.870824,-35.312112,-30.868027,-3.950717,-2.594158,-0.348699,-0.21076399999999998,,,,,,,,,,,,1.35,1.49,3186.0,700.0,180.0,13.4,,,,,,,1.0,,,,,,,8908.0,7.2,,,,,,,,0.7400000000000001,,,,,,1458.0,1728.0,67.0,4.0,6.59,,,,,1.0,,1.0,1.0,1.0,1.0,,,,,0.31,0.72,,76.0,,91.0,1.63,4970.0,638.0,1.91,200.0,1.246,70.0,70.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,0.7400000000000001,,0.83,0.7,0.62,,,
5341,Mn1Si1Ti1,643671,done_error,,54.93804500000001,25.0,-233.696912,-26.866646000000003,-23.066297,-3.076637,-1.99145,-0.26654,-0.191136,,,,,,,,,,,,1.3999999999999997,1.61,2334.0,196.0,120.0,21.7,,,,,,,1.0,,1.0,,,1.0,,7470.0,144.0,,,,,,,0.97,0.785,0.67,0.47,0.395,0.6,,815.0,1519.0,60.0,6.0,7.349999999999999,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,7.8,,5150.0,,1.55,198.0,1.2919999999999998,61.0,61.0,,,,,,,1.0,1.0,1.0,,,1.0,,,,,,0.97,0.785,,0.81,0.7200000000000001,0.67,0.47,0.395,0.6
5345,As2Ru2Sr1,602109,0,,74.9216,33.0,-423.336658,-53.09308599999999,-47.527869,-6.730755,-4.851725,-1.542767,-0.52367,-0.197497,,,,,,,,,,,1.15,1.14,887.0,1440.0,22.0,,,1.0,,,,,,1.0,,1.0,,,1700.0,5727.0,33.0,,,,,,,,0.72,,0.6,,,,203.0,1090.0,89.0,3.5,12.95,,,1.0,,,,,1.0,1.0,,1.0,,,,,,1.001552,,,50.0,1.85,,,2.18,8.0,,89.0,89.0,,1.0,1.0,1.0,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,
5349,Bi2Nb3S6,74700,0,,208.9804,83.0,-2975.550959,-502.950758,-484.716359,-120.613998,-111.88339299999998,-95.532476,-27.07034,-23.218641,-16.084817,-6.382744000000001,-4.611934,-3.2936370000000004,-1.1394079999999998,,-0.426129,-0.180198,,,1.6,1.43,1837.0,94.2,31.0,13.4,,,,,,,,1.0,,,,,,9780.0,130.0,,,,,,,,1.17,,0.9,,,,1292.6,544.4,87.0,2.25,21.31,,,1.0,,,,,,1.0,,1.0,,,,0.33,,,12.0,,8.0,2.07,1790.0,,2.02,32.0,1.82,87.0,87.0,,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,
5352,Cr1Rh2Te4,626579,0,,51.9961,24.0,-213.881191,-24.113457,-20.526273,-2.649085,-1.6542299999999999,-0.118123,-0.150445,,,,,,,,,,,,1.4,1.66,2944.0,1120.0,160.0,4.9,,,,,,,,1.0,,,1.0,,,7140.0,12.7,,,,,,,0.94,,,,,,,764.0,2180.0,57.0,8.5,7.229999999999999,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,0.21,,,115.0,,94.0,,5940.0,1060.0,1.66,279.0,1.285,58.0,58.0,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,0.94,,,0.87,0.755,0.6900000000000001,0.63,0.58,
5354,Co2Ni1Se4,624485,0,,58.933195,27.0,-275.616639,-32.379758,-28.152095000000003,-3.651812,-2.3882849999999998,-0.322368,-0.204497,,,,,,,,,,,,1.35,1.52,3200.0,700.0,180.0,13.0,,,,,,,1.0,1.0,,,,,,8900.0,6.0,,,,,,,0.885,0.75,0.67,,,,,1432.0,1768.0,64.0,5.0,6.67,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,0.31,0.67,,75.0,,100.0,,4720.0,1043.0,1.88,209.0,1.25,67.0,67.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,0.885,0.75,0.67,0.79,0.6849999999999999,,,,
5356,As1Si1Ta1,42355,0,,74.9216,33.0,-423.336658,-53.093086,-47.527869,-6.7307549999999985,-4.851725,-1.5427670000000002,-0.52367,-0.197497,,,,,,,,,,,1.15,1.14,887.0,1440.0,22.0,,,1.0,,,,,,1.0,,1.0,,,1700.0,5727.0,33.0,,,,,,,,0.7200000000000001,,0.6,,,,203.0,1090.0,89.0,3.5,12.949999999999998,,,1.0,,,,,1.0,1.0,,1.0,,,,,,1.001552,,,50.0,1.8500000000000003,,,2.18,8.0,,89.0,89.0,,1.0,1.0,1.0,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,
5357,Br7La8Ni4,260115,0,,79.904,35.0,-480.182643,-61.710021999999995,-55.67796,-8.409057,-6.298804999999999,-2.52211,-0.720066,-0.29533400000000004,,,,,,,,,,,1.15,0.94,332.0,,1.9,,,,,1.0,,1.0,,1.0,,1.0,,1.0,586.0,,,,,,1.82,,,,0.73,,0.45,,0.53,,66.2,265.8,98.0,,19.78,,,,,1.0,,1.0,,1.0,1.0,1.0,,1.0,,,,1.001132,,,0.12,1.85,,,2.9599999999999995,,1.14,100.0,100.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,
5360,Al1O4V2,151457,0,,26.9815386,13.0,-55.156043999999994,-3.934827,-2.5640180000000004,-0.286883,-0.10254500000000001,,,,,,,,,,,,,,1.25,1.18,2792.0,245.0,76.0,23.1,,,,,,,,1.0,,,,,,2700.0,2.7,,,,,,,,0.6749999999999999,,,,,,1858.53,933.47,80.0,2.75,10.0,,,,,,,1.0,,1.0,,,,,,0.35000000000000003,0.71,,26.0,1.175,235.0,1.84,5100.0,167.0,1.61,70.0,1.43,80.0,80.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
5362,O6Rh1Sr4,109297,0,,15.999399999999998,8.0,-18.758245000000002,-0.8713620000000001,-0.338381,,,,,,,,,,,,,,,,0.6,0.4799999999999999,90.2,,,,,,1.0,,,,,,,,,,154.6,,,,,1.26,,,,,,,,,,,35.4,54.8,101.0,,17.36,,,,1.0,1.0,,1.0,1.0,,,,,,,,,1.000271,,,0.02658,1.5199999999999998,317.5,,3.4400000000000004,,,97.0,97.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
5363,Ge10Ir4Lu5,636714,0,,72.64,32.0,-396.29299100000003,-49.055282,-43.72012899999999,-5.9614720000000005,-4.194822,-1.1173159999999998,-0.42652299999999993,-0.149882,,,,,,,,,,,1.25,1.25,3093.0,,,6.0,1.0,,,,,,1.0,,1.0,,,,,5323.0,50000.0,,,,,,,0.8700000000000001,,0.67,,,,,1881.6,1211.4,84.0,6.0,13.63,,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,60.0,2.11,5400.0,,2.01,,1.39,84.0,84.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
5375,Fe9La1Si4,79590,0,,55.84500000000001,26.0,-254.225505,-29.564859999999996,-25.551766,-3.3606210000000005,-2.187523,-0.2950490000000001,-0.197978,,,,,,,,,,,,1.4,1.5600000000000005,3134.0,490.0,170.0,11.8,,,,,,,1.0,1.0,,,,,,7874.0,10.0,,,,,,,0.92,0.785,,,,,,1323.0,1811.0,61.0,4.0,7.090000000000002,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,0.29,0.6500000000000001,,82.0,,80.0,,4910.0,608.0,1.83,211.0,1.2769999999999997,64.0,64.0,,,,,,,1.0,1.0,,,,,,,,,,0.92,0.785,,0.75,0.6899999999999998,0.7249999999999999,,0.3900000000000001,
5376,K1Mo5O13,280882,0,,39.0983,19.0,-128.41495700000002,-12.839001,-10.283851,-1.2818969999999998,-0.6937760000000001,,-0.08881499999999999,,,,,,,,,,,,2.2,2.43,1032.0,0.363,3.1,,,,,,,1.0,,,,,,,2223.0,856.0,7.5,,,,,,1.5200000000000002,,,,,,,,695.47,336.53,10.0,0.4,45.94,,,,,1.0,,1.0,,,,,,,,,,,1.3,,100.0,2.75,2000.0,,0.82,,2.381,9.0,9.0,,,,,,1.0,,,,,,,,,-41.0,,,,,,,,,,,
5377,Pt2Si2Y1,649646,0,,195.084,78.0,-2613.096532,-434.85800300000005,-417.96053,-101.274869,-93.309108,-78.40027099999999,-21.110651,-17.697297,-11.419476,-3.038049,-2.950526,-1.8842560000000002,-0.273634,,-0.16130799999999998,,,,1.35,1.77,4098.0,392.0,230.0,8.8,,,,,,,1.0,,1.0,,,,,21090.0,10.6,,,,,,,0.9399999999999998,,0.765,0.71,,,,2056.6,2041.4,68.0,3.5,9.09,,,,1.0,,,,1.0,,1.0,1.0,1.0,,,0.38,0.73,,61.0,,72.0,1.75,2680.0,549.0,2.28,168.0,1.3869999999999998,68.0,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5379,Ba1Bi2Mn2,252590,0,,137.327,56.0,-1305.743258,-200.84444399999998,-189.59848300000002,-42.359434,-37.536931,-28.528933,-8.257061,-6.497622,-3.4324410000000003,,-1.157159,-0.698605,,,-0.118967,,,,2.15,2.53,2143.0,,9.6,20.6,,,,,,,1.0,,,,,,,3510.0,34.0,,,,,,,1.4899999999999998,,,,,,,1143.0,1000.0,14.0,1.25,38.16,,,,,,,,1.0,,,,,,,,,,4.9,,18.0,2.6800000000000006,1620.0,,0.89,13.0,2.236,13.0,13.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
5380,Bi2La1Li1,415728,0,,208.9804,83.0,-2975.550959,-502.950758,-484.716359,-120.613998,-111.883393,-95.532476,-27.07034,-23.218641,-16.084817,-6.382744000000001,-4.611934,-3.2936370000000004,-1.139408,,-0.426129,-0.180198,,,1.6,1.43,1837.0,94.2,31.0,13.4,,,,,,,,1.0,,,,,,9780.0,130.0,,,,,,,,1.17,,0.9,,,,1292.6,544.4,87.0,2.25,21.31,,,1.0,,,,,,1.0,,1.0,,,,0.33,,,12.0,,8.0,2.07,1790.0,,2.02,32.0,1.82,87.0,87.0,,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,
5381,Au1Ge1Sc1,81733,0,,196.966569,79.0,-2683.508245,-447.888973,-430.72570099999996,-104.824516,-96.70700000000001,-81.511751,-22.078357,-18.578651999999998,-12.131814999999998,-3.486824,-3.1139360000000003,-2.002495,-0.304738,,-0.16233399999999998,,,,1.3500000000000003,1.74,3129.0,2450.0,220.0,14.199999999999998,,,,,,,,1.0,,,,,,19300.0,2.2,,,,,,1.51,,0.99,,0.71,,,,1791.67,1337.33,70.0,2.5,10.21,,,,,1.0,,1.0,1.0,1.0,,1.0,,,,0.44,0.9499999999999998,,27.0,,320.0,1.66,1740.0,216.0,2.54,78.0,1.442,71.0,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5382,Hf9Mo4Ni1,638623,0,,178.48999999999995,72.0,-2210.6519899999994,-361.006527,-345.687023,-81.522812,-74.452656,-61.23144300000001,-15.883625,-12.971211,-7.6766380000000005,-0.871574,-2.0498279999999998,-1.246441,-0.143805,,-0.16646500000000006,,,,1.5500000000000005,2.08,4876.0,1700.0,110.0,5.9,,,,,,,,,1.0,,,,,13310.0,34.0,,,,,,,,,0.8499999999999999,,,,,2370.0,2506.0,50.0,5.5,13.44,,,,,,,,1.0,1.0,1.0,,,,,0.3700000000000001,,,30.0,0.12800000000000006,23.0,,3010.0,1760.0,1.3000000000000005,78.0,1.5799999999999998,50.0,50.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
5384,Co2Ga1Nb1,102441,0,,58.933195,27.0,-275.616639,-32.379758,-28.152095000000003,-3.651812,-2.3882849999999998,-0.322368,-0.204497,,,,,,,,,,,,1.35,1.52,3200.0,700.0,180.0,13.0,,,,,,,1.0,1.0,,,,,,8900.0,6.0,,,,,,,0.885,0.75,0.67,,,,,1432.0,1768.0,64.0,5.0,6.67,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,0.31,0.67,,75.0,,100.0,,4720.0,1043.0,1.88,209.0,1.25,67.0,67.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,0.885,0.75,0.67,0.79,0.685,,,,
5387,Ge3Lu1Ni1,600184,0,,72.64,32.0,-396.29299100000003,-49.055282,-43.720129,-5.9614720000000005,-4.194822,-1.117316,-0.42652299999999993,-0.149882,,,,,,,,,,,1.25,1.25,3093.0,,,6.0,1.0,,,,,,1.0,,1.0,,,,,5323.0,50000.0,,,,,,,0.8699999999999999,,0.67,,,,,1881.6,1211.4,84.0,6.0,13.63,,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,60.0,2.11,5400.0,,2.01,,1.39,84.0,84.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
5399,Cu1Ir2S4,75531,0,,63.54600000000001,29.0,-320.78852,-38.14130999999999,-33.481246999999996,-4.057453,-2.609244,-0.202272,-0.172056,,,,,,,,,,,,1.35,1.4499999999999995,3200.0,874.0,140.0,16.5,,,,,,,1.0,,,,,,,8920.0,1.72,,,,,,0.91,0.87,0.6799999999999999,,,,,,1842.23,1357.77,72.0,3.0,7.11,,,,,,,1.0,1.0,1.0,1.0,,,,,0.34,0.9000000000000001,,48.0,,400.0,1.4,3570.0,369.0,1.9,130.0,1.278,73.0,73.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
5400,I1Nb4Te12,72918,0,,126.90446999999999,53.0,-1161.787047,-175.073804,-164.60378799999998,-35.243351000000004,-30.831092000000005,-22.600693,-6.115811,-4.572522,-1.938179,,-0.5963390000000001,-0.26790400000000003,,,,,,,1.4,1.15,457.4,,7.7,,,,,1.0,,1.0,,1.0,,1.0,,1.0,819.0,4940.0,,,,,2.06,,,,,,1.09,,0.67,,70.55,386.85,97.0,,25.72,,,,,1.0,,1.0,,1.0,,1.0,,1.0,,,,,,,0.449,1.98,,,2.66,,,99.0,99.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,
5402,Ca1Ir3Si7,181449,0,,40.078,20.0,-143.935181,-15.046905000000002,-12.285376,-1.706331,-1.030572,,-0.14141099999999998,,,,,,,,,,,,1.8,1.94,1757.0,167.0,17.0,22.3,,,,,,,1.0,,,,,,,1550.0,3.4,,,,,,,1.14,,,,,,,642.0,1115.0,16.0,1.75,26.2,,,,,,,,1.0,,,,,,,0.31,,,7.4,,200.0,2.3100000000000005,3810.0,,1.0,20.0,1.976,15.0,15.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
5403,Ge4Nb3Sc2,601028,0,,72.64,32.0,-396.292991,-49.05528200000001,-43.72012900000001,-5.9614720000000005,-4.194822,-1.117316,-0.42652299999999993,-0.14988199999999996,,,,,,,,,,,1.25,1.25,3093.0,,,6.0,1.0,,,,,,1.0,,1.0,,,,,5323.0,50000.0,,,,,,,0.87,,0.67,,,,,1881.6,1211.4000000000005,84.0,6.0,13.63,,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,60.0,2.11,5400.0,,2.01,,1.39,84.0,84.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
5405,Al1B2Fe2,20322,0,,26.9815386,13.0,-55.156044,-3.934827,-2.564018,-0.286883,-0.10254500000000001,,,,,,,,,,,,,,1.25,1.1800000000000002,2792.0,245.0,76.0,23.1,,,,,,,,1.0,,,,,,2700.0,2.7,,,,,,,,0.675,,,,,,1858.53,933.47,80.0,2.75,10.0,,,,,,,1.0,,1.0,,,,,,0.35,0.71,,26.0,1.175,235.0,1.8400000000000003,5100.0,167.0,1.61,70.0,1.4300000000000002,80.0,80.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
5406,La1Rh1Sn2,641754,0,,138.90547,57.0,-1355.622446,-209.83115099999998,-198.325243,-44.856283000000005,-39.895838,-30.626696000000003,-9.000542999999999,-7.167724000000001,-3.95801,,-1.3249360000000001,-0.824498,-0.141085,,-0.132233,,,,1.95,,3743.0,363.0,28.0,12.1,,,,,,,,1.0,,,,,,6146.0,61.5,,,,,,,,1.172,,,,,,2550.0,1193.0,33.0,2.5,22.39,,,,,,,,1.0,1.0,,,,,,0.28,,,14.0,6.0,13.0,,2475.0,491.0,1.1,37.0,1.8769999999999998,47.0,47.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
5409,B6Co20Ti3,613353,0,,10.811,5.0,-6.564347,-0.34470100000000004,-0.136603,,,,,,,,,,,,,,,,0.8500000000000001,0.8699999999999999,4200.0,,320.0,6.0,,,,,,,,1.0,,,,,,2460.0,,,,,,,,,0.41,,,,,,1851.0,2349.0,86.0,9.3,4.39,,,,,,,1.0,1.0,1.0,,,,,,,,,,,27.0,1.92,16200.0,49000.0,2.04,,,81.0,81.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,
5412,Os2P2Sr1,602096,0,,190.23,76.0,-2475.238617,-409.522396,-393.15407999999996,-94.501324,-86.837047,-72.49718299999999,-19.362527,-16.119671,-10.176082000000001,-2.321175,-2.738293,-1.7574040000000002,-0.29679099999999997,,-0.19148900000000002,,,,1.3,1.85,5285.0,3920.0,,5.1,,,,,,,,,1.0,,,,,22610.0,8.1,,,,,,,,,0.77,0.715,0.685,0.665,0.53,1979.0,3306.0,63.0,7.0,8.42,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,,,222.0,0.66,88.0,,4940.0,,2.2,,1.3519999999999999,62.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5414,Al1Ca1Pt1,261896,0,,26.981538600000004,13.0,-55.156043999999994,-3.934827,-2.564018,-0.286883,-0.10254500000000001,,,,,,,,,,,,,,1.25,1.18,2792.0,245.0,76.0,23.100000000000005,,,,,,,,1.0,,,,,,2700.0,2.7000000000000006,,,,,,,,0.6750000000000002,,,,,,1858.53,933.47,80.0,2.75,10.0,,,,,,,1.0,,1.0,,,,,,0.3499999999999999,0.71,,26.0,1.175,235.0,1.84,5100.0,167.0,1.61,70.0,1.43,80.0,80.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
5416,Co2In9K1,260251,0,,58.93319499999999,27.0,-275.616639,-32.379758,-28.152095000000003,-3.651812,-2.3882849999999998,-0.322368,-0.204497,,,,,,,,,,,,1.3500000000000003,1.5199999999999998,3200.0,700.0,180.0,13.0,,,,,,,1.0,1.0,,,,,,8900.0,6.0,,,,,,,0.8849999999999999,0.75,0.67,,,,,1432.0,1768.0,64.0,5.0,6.670000000000001,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,0.31,0.67,,75.0,,100.0,,4720.0,1043.0,1.88,209.0,1.25,67.0,67.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,0.8849999999999999,0.75,0.67,0.79,0.685,,,,
5418,Nb5Se8Sn1,657512,0,,92.90638,41.0,-673.76253,-92.74085999999998,-85.27217500000002,-15.393726999999998,-12.552855000000001,-7.339838999999999,-2.036693,-1.250049,-0.125252,,-0.144272,,,,,,,,1.45,1.98,5017.0,736.0,170.0,7.3,,,,,,,,,,1.0,,,,8570.0,15.2,,,,,,,,0.86,0.8200000000000001,0.78,,,,2267.0,2750.0,53.0,6.0,10.83,,,,,1.0,,,1.0,1.0,1.0,1.0,,,,0.4,,,38.0,9.25,54.0,,3480.0,1320.0,1.6,105.0,1.473,54.0,54.0,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
5421,Al3Hf5N1,603995,0,,26.9815386,13.0,-55.156044,-3.934827,-2.564018,-0.286883,-0.10254500000000001,,,,,,,,,,,,,,1.25,1.18,2792.0,245.0,76.0,23.1,,,,,,,,1.0,,,,,,2700.0,2.7,,,,,,,,0.675,,,,,,1858.53,933.47,80.0,2.75,10.0,,,,,,,1.0,,1.0,,,,,,0.35,0.71,,26.0,1.175,235.0,1.8400000000000003,5100.0,167.0,1.61,70.0,1.43,80.0,80.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
5425,Ca1Cu1In2,106332,0,,40.078,20.0,-143.935181,-15.046904999999999,-12.285376,-1.706331,-1.030572,,-0.14141099999999998,,,,,,,,,,,,1.8,1.94,1757.0,167.0,17.0,22.3,,,,,,,1.0,,,,,,,1550.0,3.4,,,,,,,1.14,,,,,,,642.0,1115.0,16.0,1.75,26.2,,,,,,,,1.0,,,,,,,0.31,,,7.4,,200.0,2.31,3810.0,,1.0,20.0,1.976,15.0,15.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
5428,Co1Ge1Ti1,42943,0,,58.93319499999999,27.0,-275.616639,-32.379758,-28.152095000000003,-3.651812,-2.3882849999999998,-0.322368,-0.204497,,,,,,,,,,,,1.3500000000000003,1.5200000000000002,3200.0,700.0,180.0,13.0,,,,,,,1.0,1.0,,,,,,8900.0,6.0,,,,,,,0.8850000000000001,0.75,0.67,,,,,1432.0,1768.0,64.0,5.0,6.669999999999999,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,0.31,0.67,,75.0,,100.0,,4720.0,1043.0,1.88,209.0,1.25,67.0,67.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,0.8850000000000001,0.75,0.67,0.79,0.685,,,,
5429,B4Rh5Sr2,66769,0,,10.811,5.0,-6.564346999999999,-0.34470100000000004,-0.136603,,,,,,,,,,,,,,,,0.85,0.87,4200.0,,320.0,6.0,,,,,,,,1.0,,,,,,2460.0,,,,,,,,,0.41,,,,,,1851.0,2349.0,86.0,9.3,4.39,,,,,,,1.0,1.0,1.0,,,,,,,,,,,27.0,1.92,16200.0,49000.0,2.04,,,81.0,81.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,
5433,Ge2La1Ni1,636819,0,,72.64,32.0,-396.29299100000003,-49.055282,-43.720129,-5.9614720000000005,-4.194822,-1.117316,-0.42652299999999993,-0.149882,,,,,,,,,,,1.25,1.25,3093.0,,,6.0,1.0,,,,,,1.0,,1.0,,,,,5323.0,50000.0,,,,,,,0.87,,0.67,,,,,1881.6,1211.4,84.0,6.0,13.63,,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,60.0,2.11,5400.0,,2.01,,1.39,84.0,84.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
5434,Ca1Ge1Zn1,52772,0,,40.078,20.0,-143.935181,-15.046904999999999,-12.285376,-1.7063309999999998,-1.030572,,-0.14141099999999998,,,,,,,,,,,,1.8,1.94,1757.0,167.0,17.0,22.3,,,,,,,1.0,,,,,,,1550.0,3.4,,,,,,,1.14,,,,,,,642.0,1115.0,16.0,1.75,26.2,,,,,,,,1.0,,,,,,,0.31,,,7.400000000000001,,200.0,2.31,3810.0,,1.0,20.0,1.976,15.0,15.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
5435,Al8Fe4Lu1,402697,0,,26.981538600000004,13.0,-55.156044,-3.934827,-2.564018,-0.286883,-0.102545,,,,,,,,,,,,,,1.25,1.18,2792.0,245.0,76.0,23.100000000000005,,,,,,,,1.0,,,,,,2700.0,2.7000000000000006,,,,,,,,0.6750000000000002,,,,,,1858.53,933.47,80.0,2.75,10.0,,,,,,,1.0,,1.0,,,,,,0.3499999999999999,0.7100000000000001,,26.0,1.1750000000000005,235.0,1.84,5100.0,167.0,1.61,70.0,1.43,80.0,80.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
5436,Ga1Pt1Zr1,635168,0,,69.723,31.0,-370.170639,-45.20086899999999,-40.093339,-5.241645,-3.5846660000000004,-0.736204,-0.328019,-0.101634,,,,,,,,,,,1.3,1.36,2477.0,60.0,,120.0,,,,,,,,1.0,,,,,,5904.0,14.0,,,,,,,,0.7600000000000001,,,,,,2174.09,302.91,81.0,1.5,11.800000000000002,,,,,,,1.0,1.0,1.0,,,,,,,,,,1.083,29.0,1.87,2740.0,,1.81,,1.3500000000000003,79.0,79.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
5441,P2Ru2Y1,602128,0,,30.973762,15.0,-76.061897,-6.329346,-4.576617,-0.512364,-0.20608,,,,,,,,,,,,,,1.0,0.98,550.0,,11.0,,,1.0,,,,,,1.0,,1.0,,,994.0,1823.0,10.0,,,,,,,,0.58,,0.52,,,,232.7,,90.0,,17.02,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,1.001212,,,0.23600000000000002,1.8,,,2.19,,,90.0,90.0,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,
5444,Ca1Ga1Ge1,166384,0,,40.078,20.0,-143.935181,-15.046904999999999,-12.285376,-1.7063309999999998,-1.030572,,-0.14141099999999998,,,,,,,,,,,,1.8,1.94,1757.0,167.0,17.0,22.3,,,,,,,1.0,,,,,,,1550.0,3.4,,,,,,,1.14,,,,,,,642.0,1115.0,16.0,1.75,26.2,,,,,,,,1.0,,,,,,,0.31,,,7.400000000000001,,200.0,2.31,3810.0,,1.0,20.0,1.976,15.0,15.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
5445,B2Fe1Nb2,614047,0,,10.811,5.0,-6.5643470000000015,-0.34470100000000004,-0.13660299999999995,,,,,,,,,,,,,,,,0.85,0.8699999999999999,4200.0,,320.0,6.0,,,,,,,,1.0,,,,,,2460.0,,,,,,,,,0.41,,,,,,1851.0,2349.0,86.0,9.3,4.389999999999999,,,,,,,1.0,1.0,1.0,,,,,,,,,,,27.0,1.92,16200.0,49000.0,2.04,,,81.0,81.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,
